idc_1
C50919
C50911
C50912
Z853
C50411
C50412
C50811
C50812
C50212
C50211
C50111
C50112
Z5111
Z421
C50512
Z510
C50511
Z9013
C773
I972
C50312
C50311
C50011
D0511
D0512
Z08
N650
C7951
C50012
N651
Z452
Z170
Z79811
Z5112
Z9011
I890
Z9012
C50419
C7981
R928
Z4001
C50819
Z483
Z780
C50611
Z13820
N6489
Z4002
Z01818
C50612
Z45811
D701
C50119
C5091
Z171
C7931
N641
M8589
C787
T8544XA
Z45812
Z9010
C50019
M8580
D0510
G620
R921
C50219
T8579XA
Z79810
M8588
M810
Z01419
R922
Z01810
I427
D0501
L7634
Z01812
D0502
T8549XA
G893
Z1501
Z0000
D360
Z9221
Z1211
Z1231
D6481
R590
